date,rate
2019-05-24,1758.18 
2019-05-23,1759.36 
2019-05-22,1759.34 
2019-05-21,1754.63 
2019-05-20,1753.95 
2019-05-19,1753.93 
2019-05-18,1753.92 
2019-05-17,1759.12 
2019-05-16,1768.73 
2019-05-15,1763.17 
2019-05-14,1763.25 
2019-05-13,1774.18 
2019-05-12,1774.16 
2019-05-11,1774.15 
2019-05-10,1772.89 
2019-05-09,1797.60 
2019-05-08,1800.48 
2019-05-07,1806.86 
2019-05-06,1806.84 
2019-05-05,1806.82 
2019-05-04,1806.80 
2019-05-03,1813.95 
2019-05-02,1810.87 
2019-05-01,1810.86 
2019-04-30,1813.83 
2019-04-29,1797.40 
2019-04-28,1797.38 
2019-04-27,1797.36 
2019-04-26,1803.32 
2019-04-25,1804.27 
2019-04-24,1811.52 
2019-04-23,1809.70 
2019-04-22,1810.14 
2019-04-21,1810.12 
2019-04-20,1810.10 
2019-04-19,1811.47 
2019-04-18,1822.13 
2019-04-17,1822.19 
2019-04-16,1821.39 
2019-04-15,1819.30 
2019-04-14,1819.28 
2019-04-13,1819.27 
2019-04-12,1817.14 
2019-04-11,1818.86 
2019-04-10,1814.62 
2019-04-09,1813.48 
2019-04-08,1813.53 
2019-04-07,1813.51 
2019-04-06,1813.50 
2019-04-05,1812.42 
2019-04-04,1810.68 
2019-04-03,1800.97 
2019-04-02,1797.69 
2019-04-01,1788.75 
2019-03-31,1788.73 
2019-03-30,1788.71 
2019-03-29,1784.05 
2019-03-28,1787.40 
2019-03-27,1785.09 
2019-03-26,1783.36 
2019-03-25,1798.27 
2019-03-24,1798.25 
2019-03-23,1798.24 
2019-03-22,1797.12 
2019-03-21,1792.79 
2019-03-20,1793.16 
2019-03-19,1794.49 
2019-03-18,1793.61 
2019-03-17,1793.59 
2019-03-16,1793.57 
2019-03-15,1784.85 
2019-03-14,1783.13 
2019-03-13,1786.38 
2019-03-12,1777.56 
2019-03-11,1777.13 
2019-03-10,1777.11 
2019-03-09,1777.09 
